 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
228.0,182.0,1100.0,770.0,0.0,46.0,182.0,2.58,49.5,4.45,-1.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
228.0,182.0,1100.0,770.0,0.0,68.0,159.0,2.8,58.0,4.9,-1.0,26.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
674.4,187.4,1058.8,453.3,75.0,0.0,0.0,3.4,64.0,-1.0,-1.0,-1.0,900.0,-1.0,-1.0,397.0,470.0,-1.0,580.0,-1.0,-1.0,-1.0,-1.0
594.4,185.8,1049.4,449.3,148.6,0.0,0.0,3.0,65.0,-1.0,-1.0,-1.0,886.0,-1.0,-1.0,376.0,460.0,-1.0,550.0,-1.0,-1.0,-1.0,-1.0
515.7,184.2,1040.5,445.5,221.0,0.0,0.0,2.3,62.0,-1.0,-1.0,-1.0,902.0,-1.0,-1.0,344.0,440.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0
438.2,182.6,1031.4,441.6,292.1,0.0,0.0,2.0,58.0,-1.0,-1.0,-1.0,959.0,-1.0,-1.0,300.0,400.0,-1.0,455.0,-1.0,-1.0,-1.0,-1.0
362.0,181.0,1022.4,437.7,362.0,0.0,0.0,1.8,44.0,-1.0,-1.0,-1.0,988.0,-1.0,-1.0,298.0,370.0,-1.0,415.0,-1.0,-1.0,-1.0,-1.0
440.0,198.0,797.5,962.5,0.0,110.0,0.0,8.25,45.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
385.0,198.0,797.5,962.5,55.0,110.0,0.0,8.25,46.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
470.0,175.0,1203.0,647.0,0.0,30.0,0.0,9.78,55.25,-1.0,-1.0,35.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,175.0,1203.0,647.0,0.0,50.0,0.0,11.71,57.38,-1.0,-1.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
425.0,175.0,1203.0,647.0,0.0,75.0,0.0,13.34,59.5,-1.0,-1.0,38.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
426.0,153.0,1169.0,630.0,0.0,22.0,0.0,2.2,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
449.0,142.0,1155.0,622.0,0.0,50.0,0.0,5.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
468.0,132.0,1136.0,612.0,0.0,83.0,0.0,8.3,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
478.0,121.0,1119.0,603.0,0.0,120.0,0.0,12.0,102.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
475.0,135.0,1050.0,725.0,0.0,25.0,0.0,43.0,75.225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,135.0,1050.0,715.0,0.0,50.0,0.0,43.0,81.175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
425.0,135.0,1050.0,715.0,0.0,75.0,0.0,43.0,85.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
475.0,150.0,1050.0,685.0,0.0,25.0,0.0,19.0,77.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,150.0,1050.0,680.0,0.0,50.0,0.0,19.0,80.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
425.0,150.0,1050.0,680.0,0.0,75.0,0.0,19.0,83.725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
475.0,165.0,1050.0,690.0,0.0,25.0,0.0,12.0,70.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,165.0,1050.0,685.0,0.0,50.0,0.0,12.0,76.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
425.0,165.0,1050.0,680.0,0.0,75.0,0.0,12.0,75.225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
441.0,164.0,1115.0,653.0,0.0,28.0,0.0,2.9,73.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
465.0,149.0,1168.0,615.0,0.0,30.0,0.0,3.1,80.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,149.0,1168.0,615.0,0.0,45.0,0.0,3.7,84.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
494.0,135.2,1146.0,667.0,0.0,26.0,0.0,18.2,79.05,6.38,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
468.0,135.2,1146.0,667.0,0.0,52.0,0.0,18.2,79.22,6.37,10.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
442.0,135.2,1146.0,667.0,0.0,78.0,0.0,18.2,80.92,6.65,11.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
416.0,135.2,1146.0,667.0,0.0,104.0,0.0,18.2,79.9,6.51,11.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
390.0,135.2,1146.0,667.0,0.0,130.0,0.0,18.2,74.8,5.75,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484.5,153.0,1122.5,653.0,0.0,25.5,0.0,17.85,63.75,5.61,9.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
459.0,153.0,1122.5,653.0,0.0,51.0,0.0,17.85,67.15,6.05,9.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
433.5,153.0,1122.5,653.0,0.0,76.5,0.0,17.85,71.99,6.25,9.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
408.0,153.0,1122.5,653.0,0.0,102.0,0.0,17.85,74.38,6.24,10.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
382.5,153.0,1122.5,653.0,0.0,127.5,0.0,17.85,71.66,5.61,12.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
475.0,170.0,1100.0,640.0,0.0,25.0,0.0,17.5,55.08,5.61,8.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
450.0,170.0,1100.0,640.0,0.0,50.0,0.0,17.5,61.2,5.71,8.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
