 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
640,185,710,730,160,0,0,32,102.68,-1,-1,56.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,172,710,730,240,0,0,30,106.51,-1,-1,56.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,176,504,900,275,0,0,5.5,25.5,1.98,2.7,-1,-1,-1,-1,200,300,500,497,-1,-1,-1,-1
160.7,162.1,1090,804,127.4,0,0,7.8,27.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212.1,184.2,1057.6,779.3,125.6,0,0,5.7,21.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,163.8,1005.6,900.9,124.8,0,0,0,26.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190.3,165.3,1079,798.9,124.8,0,0,9.9,26.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,192.8,948.9,857.2,124.8,0,0,5.3,28.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213.5,159.2,1043.6,771.9,124.8,0,0,11.7,44.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194.7,171.5,998,901.8,124.8,0,0,7.5,39.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
251.4,192.9,1043.6,754.3,124.8,0,0,5.8,36.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,189.9,936.2,712.2,124.8,0,0,0,40.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
307,193.5,968,799.5,124.8,0,0,0,29.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,192.2,936,755,124.8,0,0,0,46.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,185.3,1069,769.4,124.8,0,0,0,27.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,185.2,1118,789,124.8,0,0,0,16.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302,202.7,974,817,124.8,0,0,0,26.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
312.5,182.4,1040,734,124.6,0,0,0,40.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220.9,142.5,896,896,124.8,0,0,0,72.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,158.2,943,844,124.8,0,0,18,17.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,158.4,1002,830,124.8,0,0,16,19.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
326,199.1,801,792,124.6,0,0,11,39.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,220.5,898,713,124.8,0,0,11,9.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
299.8,211.5,878.2,727.6,124.8,0,0,9.9,25.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148.1,159.2,1001.8,830.1,124.6,0,0,16.1,18.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
326.5,193.3,801.1,792.5,124.8,0,0,10.8,35.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276.4,217.4,897.7,712.9,124.8,0,0,11,9.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150.7,164.6,1074.5,687,124.8,0,0,15.6,15.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190.8,185.1,979.5,811,124.8,0,0,11.1,15.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190.9,168.2,991.2,784,124.8,0,0,11.6,18.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188.7,182.4,1023.3,732,124.8,0,0,11.7,20.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
298.1,189.4,879,815,124.6,0,0,6.1,41.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
318.9,212.7,860.5,725,124.8,0,0,5.7,36.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
355.9,196.3,801.4,769,124.5,0,0,11,36.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199.8,185.4,849.3,856.5,124.8,0,0,12.6,18.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
278.7,170.3,925.3,782,124.8,0,0,10.1,41.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,140,1041,740,50,25,0,2.5,61.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,140,948,790,100,50,0,3,65.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,140,887,870,150,75,0,3,62.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,160,999,710,100,0,0,2,52.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,160,1101,660,150,25,0,2,50.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,160,876,860,0,50,0,2,60.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,160,948,790,50,75,0,2.25,61.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
