 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
142.5,190.0,746.1,929.1,71.25,23.75,237.5,1.6625,2.55
130.625,190.0,742.9,925.1,95.0,11.875,237.5,1.425,2.39
118.75,180.5,742.2,924.2,71.25,23.75,237.5,1.579375,2.36
106.875,190.0,741.7,923.7,95.0,35.625,237.5,1.6625,2.32
273.125,190.0,697.1,921.6,47.5,11.875,142.5,1.1875,3.47
249.375,190.0,685.2,905.9,71.25,11.875,142.5,1.1875,3.35
225.625,190.0,695.7,919.7,47.5,11.875,190.0,1.1875,3.25
154.375,190.0,690.4,912.7,71.25,11.875,237.5,1.425,2.8
142.5,190.0,689.8,911.9,71.25,23.75,237.5,1.6625,2.71
130.625,190.0,686.8,908.0,95.0,11.875,237.5,1.425,2.58
118.75,180.5,686.4,907.4,71.25,23.75,237.5,1.579375,2.48
106.875,190.0,685.8,906.6,95.0,35.625,237.5,1.6625,2.39
138.0,191.4,1107.0,660.0,92.0,46.0,184.0,1.84,2.93
138.0,195.6,1071.0,660.0,92.0,46.0,184.0,1.84,3.36
138.0,200.7,1048.0,660.0,92.0,46.0,184.0,1.84,3.05
138.0,199.4,990.0,660.0,92.0,46.0,184.0,1.84,2.95
138.0,208.2,990.0,660.0,92.0,46.0,184.0,1.84,2.89
138.0,205.3,1007.0,635.0,92.0,46.0,184.0,1.84,2.78
138.0,209.5,1023.0,612.0,92.0,46.0,184.0,1.84,2.88
330.0,173.46,1198.0,798.0,83.0,0.0,0.0,1.45,3.88
289.0,173.46,1185.0,790.0,124.0,0.0,0.0,1.45,3.8
248.0,173.46,1172.0,781.0,165.0,0.0,0.0,1.45,3.42
356.0,186.9,1338.0,653.0,89.0,0.0,0.0,1.11,3.71
312.0,186.9,1322.0,645.0,133.0,0.0,0.0,1.11,3.65
267.0,186.9,1307.0,637.0,178.0,0.0,0.0,1.11,3.3
384.85,151.35,1144.6,706.5,0.0,47.57,0.0,5.19,5.0
371.88,151.35,1152.31,711.22,0.0,0.0,60.54,4.76,4.8
332.0,92.96,1504.0,75.2,0.0,17.5,0.0,4.375,2.0
315.0,88.2,1504.0,75.2,0.0,35.0,0.0,4.375,2.38
345.0,134.4,1587.0,0.0,38.0,0.0,0.0,0.0,3.4
345.0,134.4,1434.0,154.0,38.0,0.0,0.0,0.0,3.72
345.0,134.4,1280.0,307.0,38.0,0.0,0.0,0.0,3.95
269.0,134.4,1587.0,0.0,38.0,38.0,0.0,0.0,4.2
269.0,134.4,1434.0,154.0,38.0,38.0,0.0,0.0,4.72
269.0,134.4,1280.0,307.0,38.0,38.0,0.0,0.0,5.25
459.0,178.5,915.0,865.0,0.0,51.0,0.0,4.5,4.2
357.0,178.5,915.0,865.0,0.0,0.0,153.0,4.5,3.85
408.0,178.5,915.0,865.0,102.0,0.0,0.0,4.5,3.8
666.0,152.0,1103.0,523.0,0.0,0.0,74.0,8.88,5.66
592.0,152.0,1100.0,522.0,0.0,0.0,148.0,8.88,5.85
518.0,152.0,1097.0,520.0,0.0,0.0,222.0,8.88,6.23
444.0,152.0,1094.0,519.0,0.0,0.0,296.0,8.88,6.65
370.0,152.0,1091.0,518.0,0.0,0.0,370.0,8.88,6.46
696.0,152.0,1099.0,522.0,0.0,44.4,0.0,8.88,6.82
681.0,152.0,1092.0,518.0,0.0,59.0,0.0,8.88,7.02
666.0,152.0,1085.0,515.0,0.0,74.0,0.0,8.88,7.22
651.0,151.0,1081.0,513.0,0.0,89.0,0.0,8.88,7.56
629.0,151.0,1075.0,510.0,0.0,111.0,0.0,8.88,7.87
607.0,151.0,1069.0,507.0,0.0,133.0,0.0,8.88,7.72
577.0,151.0,1078.0,511.0,0.0,89.0,74.0,8.88,7.82
503.0,151.0,1075.0,510.0,0.0,89.0,148.0,8.88,7.94
429.0,151.0,1072.0,509.0,0.0,89.0,222.0,8.88,8.12
355.0,151.0,1069.0,507.0,0.0,89.0,296.0,8.88,8.26
281.0,151.0,1066.0,506.0,0.0,89.0,370.0,8.88,8.15
227.5,140.0,1314.2,744.3,87.5,0.0,35.0,3.5,4.21
227.5,140.0,1314.2,744.3,0.0,35.0,87.5,3.5,4.18
227.5,140.0,1314.2,744.3,87.5,35.0,0.0,3.5,4.13
227.5,140.0,1314.2,744.3,70.0,0.0,52.5,3.5,4.03
227.5,140.0,1314.2,744.3,0.0,52.5,70.0,3.5,4.1
227.5,140.0,1314.2,744.3,70.0,52.5,0.0,3.5,4.19
227.5,140.0,1314.2,744.3,35.0,87.5,0.0,3.5,3.94
227.5,140.0,1314.2,744.3,35.0,0.0,87.5,3.5,3.91
227.5,140.0,1314.2,744.3,0.0,87.5,35.0,3.5,3.86
227.5,140.0,1314.2,744.3,70.0,52.5,0.0,3.5,3.54
227.5,140.0,1314.2,744.3,70.0,0.0,52.0,3.5,3.68
227.5,140.0,1314.2,744.3,70.0,52.5,0.0,3.5,3.79
504.8,185.5,797.5,886.6,0.0,10.302,0.0,11.332244,4.75
494.5,185.5,796.0,884.9,0.0,20.604,0.0,11.332288,4.9
484.2,185.5,794.5,883.2,0.0,30.906,0.0,11.332332,4.99
473.9,185.5,793.0,881.6,0.0,41.208,0.0,11.332376,5.1
463.6,185.5,791.5,879.9,0.0,51.51,0.0,11.33242,5.05
499.7,185.5,776.1,862.8,15.453,0.0,0.0,11.333366,4.0
484.2,185.5,753.2,837.4,30.906,0.0,0.0,11.332332,4.07
430.1,185.5,746.8,830.2,84.9915,0.0,0.0,11.332013,4.2
401.8,185.5,729.4,810.9,113.322,0.0,0.0,11.332684,4.25
373.5,185.5,712.0,791.6,141.6525,0.0,0.0,11.333355,4.2
345.1,185.5,694.6,772.2,169.983,0.0,0.0,11.331826,4.19
316.8,185.5,677.2,752.9,198.3135,0.0,0.0,11.332497,4.03
288.5,185.5,659.8,733.5,226.644,0.0,0.0,11.333168,3.98
231.8,185.5,625.0,694.9,283.305,0.0,0.0,11.33231,3.8
324.0,250.0,836.0,631.0,0.0,23.0,116.0,0.0,3.0
324.0,260.9,825.0,631.0,0.0,23.0,116.0,0.0,2.84
324.0,271.7,813.0,631.0,0.0,23.0,116.0,0.0,2.89
324.0,293.5,791.0,631.0,0.0,23.0,116.0,0.0,2.49
441.75,200.0,737.0,937.5,23.25,0.0,0.0,3.72,3.24
418.5,200.0,737.0,937.5,46.5,0.0,0.0,3.72,3.38
395.25,200.0,737.0,937.5,69.75,0.0,0.0,3.72,3.5
372.0,200.0,737.0,937.5,93.0,0.0,0.0,3.72,3.6
348.75,200.0,737.0,937.5,116.25,0.0,0.0,3.72,3.63
325.5,200.0,737.0,937.5,139.5,0.0,0.0,3.72,3.6
302.25,200.0,737.0,937.5,162.75,0.0,0.0,3.72,3.51
441.75,200.0,737.0,937.5,0.0,23.25,0.0,3.72,3.53
418.5,200.0,737.0,937.5,0.0,46.5,0.0,3.72,3.75
395.25,200.0,737.0,937.5,0.0,69.75,0.0,3.72,3.74
372.0,200.0,737.0,937.5,0.0,93.0,0.0,3.72,3.52
348.75,200.0,737.0,937.5,0.0,116.25,0.0,3.72,3.5
348.75,200.0,737.0,937.5,93.0,23.85,0.0,3.72,3.51
348.75,200.0,737.0,937.5,69.75,47.7,0.0,3.72,3.97
348.75,200.0,737.0,937.5,46.5,69.75,0.0,3.72,3.7
348.75,200.0,737.0,937.5,23.25,93.0,0.0,3.72,3.63
348.75,200.0,737.0,937.5,0.0,116.25,0.0,3.72,3.58
301.15,155.33,1268.0,634.0,0.0,15.85,0.0,0.0,3.42
285.3,152.16,1268.0,634.0,0.0,31.7,0.0,0.0,3.5
269.45,148.99,1268.0,634.0,0.0,47.55,0.0,0.0,3.3
301.15,158.5,1268.0,634.0,15.85,0.0,0.0,0.0,3.31
285.3,155.33,1268.0,634.0,31.7,0.0,0.0,0.0,3.49
269.45,152.16,1268.0,634.0,47.55,0.0,0.0,0.0,3.23
301.15,158.5,1268.0,634.0,7.93,7.93,0.0,0.0,3.43
285.3,152.16,1268.0,634.0,15.85,15.85,0.0,0.0,3.6
269.45,148.99,1268.0,634.0,23.78,23.78,0.0,0.0,3.75
360.0,180.0,868.0,941.0,40.0,0.0,0.0,0.0,2.4
320.0,180.0,865.0,937.0,80.0,0.0,0.0,0.0,2.25
280.0,180.0,852.0,933.0,120.0,0.0,0.0,0.0,2.0
380.0,180.0,869.0,941.0,0.0,20.0,0.0,0.0,2.6
360.0,180.0,865.0,937.0,0.0,40.0,0.0,0.0,3.17
340.0,180.0,863.0,935.0,40.0,20.0,0.0,0.0,2.47
280.0,180.0,861.0,932.0,80.0,20.0,0.0,0.0,2.36
260.0,180.0,858.0,930.0,120.0,20.0,0.0,0.0,2.3
486.0,183.6,817.56,828.36,0.0,54.0,0.0,4.86,4.78
324.0,162.0,1027.0,750.0,81.0,0.0,0.0,0.0,3.5
